Genre,Words,Counts
western,town,1144
western,men,940
western,take,683
western,back,672
western,one,671
western,kill,636
western,man,577
western,ranch,564
western,horse,544
western,find,528
western,ride,523
western,killed,519
western,go,517
western,gang,515
western,return,502
western,two,495
western,get,489
western,gun,482
western,sheriff,478
western,tell,476
western,indian,473
western,shoot,470
western,father,470
western,brother,432
western,help,400
western,try,396
western,woman,394
western,gold,391
western,new,387
western,come,381
western,john,380
western,gene,376
western,train,368
western,friend,355
western,money,352
western,son,340
western,cattle,330
western,shot,324
western,make,321
western,way,319
western,also,312
western,later,311
western,escape,306
western,time,305
western,love,302
western,away,301
western,life,298
western,outlaw,297
western,old,293
western,wife,292
comedy,get,7781
comedy,find,6400
comedy,go,6087
comedy,one,5716
comedy,take,5475
comedy,tell,5055
comedy,friend,5030
comedy,back,4843
comedy,love,4762
comedy,new,4575
comedy,two,4566
comedy,father,4387
comedy,make,4042
comedy,life,3959
comedy,day,3922
comedy,home,3886
comedy,time,3830
comedy,family,3666
comedy,house,3566
comedy,also,3558
comedy,try,3459
comedy,come,3422
comedy,meet,3309
comedy,end,3289
comedy,see,3265
comedy,later,3245
comedy,man,3242
comedy,film,3230
comedy,money,3230
comedy,however,3221
comedy,help,3131
comedy,return,3121
comedy,woman,2976
comedy,mother,2921
comedy,girl,2823
comedy,wife,2816
comedy,police,2770
comedy,give,2761
comedy,show,2740
comedy,car,2686
comedy,work,2677
comedy,night,2650
comedy,want,2574
comedy,first,2543
comedy,school,2504
comedy,decides,2492
comedy,begin,2488
comedy,way,2470
comedy,next,2413
comedy,away,2367
short,tom,939
short,jerry,743
short,bug,295
short,stooge,250
short,get,201
short,back,199
short,cat,196
short,head,178
short,spike,174
short,curly,174
short,mouse,159
short,run,156
short,go,155
short,try,154
short,one,147
short,house,144
short,end,141
short,moe,140
short,see,129
short,away,122
short,take,119
short,make,112
short,door,107
short,two,105
short,dog,103
short,time,100
short,chase,100
short,fall,96
short,sam,96
short,find,95
short,come,94
short,open,93
short,larry,92
short,attempt,90
short,around,89
short,father,87
short,hand,84
short,grab,82
short,man,81
short,escape,81
short,tell,79
short,onto,78
short,say,78
short,behind,77
short,daffy,75
short,boy,74
short,like,74
short,hole,72
short,start,70
short,give,70
action,kill,3415
action,one,2711
action,police,2586
action,get,2538
action,find,2533
action,take,2409
action,father,2012
action,go,1982
action,escape,1892
action,killed,1828
action,tell,1795
action,also,1663
action,back,1651
action,help,1647
action,two,1626
action,fight,1614
action,life,1600
action,friend,1599
action,later,1529
action,love,1474
action,brother,1454
action,meet,1441
action,men,1415
action,time,1394
action,family,1385
action,come,1381
action,son,1376
action,death,1356
action,man,1329
action,however,1321
action,make,1295
action,day,1285
action,try,1274
action,return,1188
action,car,1152
action,gang,1117
action,officer,1099
action,plan,1084
action,money,1074
action,attempt,1067
action,team,1055
action,give,1045
action,new,1042
action,house,1029
action,order,1010
action,end,999
action,attack,996
action,away,987
action,year,978
action,home,970
crime,police,2101
crime,get,1369
crime,kill,1363
crime,one,1342
crime,find,1328
crime,go,1251
crime,take,1215
crime,money,1107
crime,tell,1055
crime,man,993
crime,two,930
crime,car,927
crime,murder,916
crime,gang,877
crime,back,872
crime,life,840
crime,killed,817
crime,friend,801
crime,later,792
crime,home,773
crime,wife,729
crime,house,726
crime,men,714
crime,also,712
crime,new,706
crime,death,687
crime,father,686
crime,escape,681
